Isotope,Element,Mass,MaxLDensity,MaxGStrength,MaxRate,Charge,Neutron,MaxFactor,MinLDensity,MinGStrength,MinRate,MinFactor,ExperimentalUncert(%)
12C,C,12,-1,-1,166.0,6,6,,-1,-1,166.0,,7.685185185185185
13C,C,13,-1,-1,451.0,6,7,,-1,-1,451.0,,10.464037122969838
14C,C,14,-1,-1,105.0,6,8,,-1,-1,105.0,,8.333333333333332
15C,C,15,4,3,9044.87,6,9,49.27209262763016,0,0,183.56983675030554,1.0,
16C,C,16,0,0,127.41698526733938,6,10,1.0,4,1,2.14794,0.0168575641268965,
17C,C,17,6,3,7039.63,6,11,,3,1,289.084,,
18C,C,18,6,4,9.901530000000001,6,12,,2,1,0.41771199999999997,,
14N,N,14,-1,-1,1000.0,7,7,,-1,-1,1000.0,,9.900990099009901
15N,N,15,-1,-1,254.0,7,8,,-1,-1,254.0,,20.483870967741936
16N,N,16,2,3,61189.8,7,9,159.9506086445177,0,0,382.55434298466037,1.0,
17N,N,17,2,4,10369.9,7,10,102.36118637783721,0,0,101.30695400229597,1.0,
18N,N,18,2,4,54903.9,7,11,488.26320093643824,0,0,112.4473437578339,1.0,
19N,N,19,2,3,1496.96,7,12,2.792163120258146,6,1,90.5818,0.1689551900696073,
20N,N,20,2,4,24157.9,7,13,,6,1,1510.72,,
16O,O,16,-1,-1,1050.0,8,8,,-1,-1,1050.0,,20.153550863723606
17O,O,17,-1,-1,149.0,8,9,,-1,-1,149.0,,25.645438898450944
18O,O,18,-1,-1,179.0,8,10,,-1,-1,179.0,,8.647342995169083
19O,O,19,4,3,73743.0,8,11,2.5018460506369244,6,1,8141.29,0.2762059345780601,
20O,O,20,4,3,18586.8,8,12,43.76182551931006,0,0,424.72634035338655,1.0,
21O,O,21,2,3,25852.8,8,13,4267.865655131714,0,0,6.057547750809445,1.0,
22O,O,22,4,3,5552.09,8,14,1.4964497183771177,6,1,303.782,0.08187808345110355,
19F,F,19,-1,-1,14900.0,9,10,,-1,-1,14900.0,,2.8653846153846154
20F,F,20,6,3,577323.0,9,11,1.7270514017703522,1,1,94897.7,0.28388476781590605,
21F,F,21,4,3,72233.7,9,12,1461.1760708184947,0,0,49.435315457594,1.0,
22F,F,22,4,3,117776.0,9,13,1726.056727741551,0,0,68.23414208066228,1.0,
23F,F,23,3,3,11175.6,9,14,9.119664834544746,6,1,1203.16,0.9818189575799829,
24F,F,24,2,3,15169.6,9,15,36.31146921245192,0,0,417.7633218652041,1.0,
25F,F,25,0,0,336.65626641270677,9,16,1.0,4,1,0.41923999999999995,0.0012453057965243807,
20Ne,Ne,20,-1,-1,4750.0,10,10,,-1,-1,4750.0,,13.342696629213483
21Ne,Ne,21,-1,-1,18200.0,10,11,,-1,-1,18200.0,,9.732620320855615
22Ne,Ne,22,-1,-1,400.0,10,12,,-1,-1,400.0,,5.0761421319796955
23Ne,Ne,23,4,3,181931.0,10,13,190.90439887607556,0,0,952.9953268290031,1.0,
24Ne,Ne,24,3,3,17988.9,10,14,10.481220411308005,0,0,1716.298226167641,1.0,
25Ne,Ne,25,6,3,34198.7,10,15,125.77918305008299,0,0,271.894753731885,1.0,
26Ne,Ne,26,6,3,700.676,10,16,3.464126563241728,1,1,51.6229,0.2552224696743879,
27Ne,Ne,27,4,3,6922.22,10,17,1.953661575389994,1,1,354.421,0.10002841418089818,
28Ne,Ne,28,0,0,452.8502167943767,10,18,1.0,6,1,10.7132,0.023657270335070826,
22Na,Na,22,4,3,4201640.0,11,11,5.839635370337464,0,0,719503.8274722268,1.0,
23Na,Na,23,-1,-1,7400.0,11,12,,-1,-1,7400.0,,2.781954887218045
24Na,Na,24,4,3,409934.0,11,13,1.1877910183466378,6,1,113974.0,0.33024168164885004,
25Na,Na,25,0,0,133025.86452235107,11,14,1.0,4,1,23283.1,0.17502686476499435,
26Na,Na,26,2,4,220290.0,11,15,1.337106550848787,6,1,31871.4,0.19345162161115814,
27Na,Na,27,0,0,9663.34287845363,11,16,1.0,6,1,794.665,0.08223499983342883,
28Na,Na,28,6,3,56458.8,11,17,1.184032285018329,1,1,4909.0,0.1029496639523861,
24Mg,Mg,24,-1,-1,29600.0,12,12,,-1,-1,29600.0,,5.266903914590747
25Mg,Mg,25,-1,-1,29500.0,12,13,,-1,-1,29500.0,,5.121527777777778
26Mg,Mg,26,-1,-1,1480.0,12,14,,-1,-1,1480.0,,7.149758454106281
27Mg,Mg,27,2,4,325552.0,12,15,1.0201280841418396,6,1,81299.9,0.25475595673785795,
28Mg,Mg,28,0,0,37893.527380817286,12,16,1.0,1,1,4228.16,0.1115800056697917,
29Mg,Mg,29,0,0,90583.30313394482,12,17,1.0,1,1,10496.3,0.11587455565049558,
30Mg,Mg,30,4,3,6408.2,12,18,1.06974698544797,6,1,781.709,0.13049387444954075,
31Mg,Mg,31,4,3,116723.0,12,19,2.4614127155627314,1,1,12142.1,0.2560482452784305,
32Mg,Mg,32,3,3,7414.49,12,20,2.4510083893992842,6,1,470.173,0.15542511588376676,
27Al,Al,27,-1,-1,82600.0,13,14,,-1,-1,82600.0,,16.926229508196723
28Al,Al,28,0,0,1055499.6142973679,13,15,1.0,4,1,328184.0,0.3109276361208978,
29Al,Al,29,0,0,173376.6636930547,13,16,1.0,6,1,38897.6,0.2243531463315279,
30Al,Al,30,0,0,277520.74224299577,13,17,1.0,1,1,47491.6,0.1711281096186194,
31Al,Al,31,0,0,43193.43014221249,13,18,1.0,6,1,4123.25,0.09546011943076478,
32Al,Al,32,0,0,168578.57566331152,13,19,1.0,1,1,14922.2,0.08851777244697401,
33Al,Al,33,0,0,7935.203909183783,13,20,1.0,6,1,581.7090000000001,0.0733073789479765,
28Si,Si,28,-1,-1,19200.0,14,14,,-1,-1,19200.0,,9.186602870813397
29Si,Si,29,-1,-1,140000.0,14,15,,-1,-1,140000.0,,12.612612612612612
30Si,Si,30,-1,-1,48600.0,14,16,,-1,-1,48600.0,,18.134328358208958
31Si,Si,31,6,3,372592.0,14,17,1.0272088615943125,4,1,110001.0,0.30326470236676034,
32Si,Si,32,0,0,54125.50290802634,14,18,1.0,1,1,8064.68,0.1489996317208182,
33Si,Si,33,0,0,79913.15975083757,14,19,1.0,6,1,17532.2,0.2193906492330413,
34Si,Si,34,0,0,5055.542295815316,14,20,1.0,1,1,376.792,0.07453048119326121,
35Si,Si,35,0,0,20180.560918594452,14,21,1.0,1,1,3540.41,0.17543664986724186,
36Si,Si,36,0,0,4640.461083781623,14,22,1.0,4,1,172.861,0.037250824191619215,
37Si,Si,37,4,3,31267.2,14,23,1.970271060295721,1,1,3999.65,0.2520339092183432,
31P,P,31,-1,-1,33800.0,15,16,,-1,-1,33800.0,,12.290909090909091
32P,P,32,0,0,2275595.8785684807,15,17,1.0,4,1,793579.0,0.3487345918815868,
33P,P,33,0,0,392250.99942438904,15,18,1.0,6,1,76570.8,0.19520868044278858,
34P,P,34,0,0,527362.5857506578,15,19,1.0,4,1,129603.0,0.2457569109031894,
35P,P,35,0,0,32900.38664125049,15,20,1.0,4,1,2718.53,0.0826291201268592,
36P,P,36,0,0,295380.8882977336,15,21,1.0,6,1,15581.6,0.05275087393025337,
37P,P,37,2,5,49391.0,15,22,1.3736877361932167,6,1,6959.17,0.19355199293563094,
38P,P,38,2,3,254216.0,15,23,1.1993101909715922,1,1,59463.2,0.28052845512391816,
39P,P,39,0,0,49187.279189459885,15,24,1.0,6,1,3434.0,0.06981479879732515,
32S,S,32,-1,-1,122000.0,16,16,,-1,-1,122000.0,,14.628297362110313
33S,S,33,-1,-1,67600.0,16,17,,-1,-1,67600.0,,6.5
34S,S,34,-1,-1,1620.0,16,18,,-1,-1,1620.0,,4.512534818941504
35S,S,35,0,0,753505.7742732592,16,19,1.0,4,1,224421.0,0.2978358065224509,
36S,S,36,-1,-1,1910.0,16,20,,-1,-1,1910.0,,7.460937500000001
37S,S,37,6,3,224897.0,16,21,1.389444207336087,1,1,43008.5,0.2657123536161625,
38S,S,38,0,0,78079.82559896965,16,22,1.0,1,1,5402.66,0.0691940582417399,
39S,S,39,0,0,239676.7212947478,16,23,1.0,1,1,48699.5,0.20318827684608845,
40S,S,40,4,1,1127370.0,16,24,32.40621888080956,3,4,30707.9,0.8826977201539973,
41S,S,41,4,1,2440400.0,16,25,36.196175629519516,0,0,67421.48742392968,1.0,
42S,S,42,4,1,862590.0,16,26,115.7952937050687,6,1,1038.04,0.13934794824610708,
35Cl,Cl,35,-1,-1,42600.0,17,18,,-1,-1,42600.0,,3.0869565217391304
36Cl,Cl,36,1,3,2377580.0,17,19,1.3434687158966092,6,1,1235570.0,0.6981677341247712,
37Cl,Cl,37,-1,-1,23500.0,17,20,,-1,-1,23500.0,,8.075601374570446
38Cl,Cl,38,6,3,1920840.0,17,21,1.0842137075341272,1,1,556595.0,0.3141687639496041,
39Cl,Cl,39,2,5,760981.0,17,22,1.5953910153479232,6,1,127691.0,0.267703233248651,
40Cl,Cl,40,2,1,8170020.0,17,23,4.901293035453515,3,4,714693.0,0.4287529067722452,
41Cl,Cl,41,1,1,4514220.0,17,24,9.704469807820262,6,4,190709.0,0.40997774423479455,
42Cl,Cl,42,4,1,4956450.0,17,25,8.556250672966737,0,0,579278.2597709276,1.0,
43Cl,Cl,43,3,5,2148620.0,17,26,23.77389916650757,6,4,33890.3,0.37498700324984946,
44Cl,Cl,44,4,1,1569820.0,17,27,6.893819997856857,6,5,54561.7,0.23960615776144173,
45Cl,Cl,45,3,5,894947.0,17,28,209.7115328778924,0,0,4267.514464839165,1.0,
36Ar,Ar,36,0,0,1313241.5335814345,18,18,1.0,4,1,438150.0,0.33364007213896896,
37Ar,Ar,37,3,3,3421220.0,18,19,2.1961543137068023,0,0,1557823.13594597,1.0,
38Ar,Ar,38,0,0,412792.3660984781,18,20,1.0,4,1,110156.0,0.266855710150707,
39Ar,Ar,39,6,3,2817990.0,18,21,3.473104932925873,1,1,564715.0,0.6959976622334481,
40Ar,Ar,40,-1,-1,44000.0,18,22,,-1,-1,44000.0,,10.784313725490197
41Ar,Ar,41,6,5,5895330.0,18,23,5.961812891659033,1,4,680311.0,0.6879830120005918,
42Ar,Ar,42,4,1,2451370.0,18,24,7.177935002944936,3,4,145262.0,0.42534631426418174,
43Ar,Ar,43,4,1,6445440.0,18,25,9.703592378572866,3,4,521251.0,0.7847419619022883,
44Ar,Ar,44,4,1,1172940.0,18,26,5.482799774211449,3,4,89783.0,0.41968234703226637,
45Ar,Ar,45,4,1,3085390.0,18,27,7.324202660569063,3,4,211313.0,0.5016219138626982,
46Ar,Ar,46,4,1,588945.0,18,28,9.147829903818003,6,5,3300.79,0.05126975433737179,
47Ar,Ar,47,4,1,701501.0,18,29,24.40400953262668,0,0,28745.317406229322,1.0,
48Ar,Ar,48,4,1,670001.0,18,30,354.1534434256521,6,1,1795.66,0.9491615269554917,
41K,K,41,-1,-1,293000.0,19,22,,-1,-1,293000.0,,9.932203389830509
42K,K,42,1,5,24266000.0,19,23,2.8264995883509516,6,4,5474210.0,0.6376350577576306,
43K,K,43,1,1,13102600.0,19,24,6.427444302112248,6,4,912828.0,0.4477852584531711,
44K,K,44,1,5,13001800.0,19,25,3.157479510411507,3,4,2594260.0,0.6300145206571519,
45K,K,45,1,1,6595580.0,19,26,14.059676750965405,6,4,346968.0,0.7396253131535006,
46K,K,46,2,1,4422230.0,19,27,8.231135108978107,6,1,268000.0,0.49883072775638815,
47K,K,47,1,1,1005890.0,19,28,6.021229396396707,6,5,7049.3,0.04219691256898797,
48K,K,48,2,5,1391800.0,19,29,2.9339159063563622,3,4,174033.0,0.3668617523573191,
49K,K,49,2,1,2415920.0,19,30,123.09499848723006,0,0,19626.467603804624,1.0,
50K,K,50,2,1,1056540.0,19,31,3.3244404037642235,6,5,1730.97,0.005446558204804133,
40Ca,Ca,40,-1,-1,54300.0,20,20,,-1,-1,54300.0,,5.993377483443709
41Ca,Ca,41,-1,-1,1390000.0,20,21,,-1,-1,1390000.0,,24.86583184257603
42Ca,Ca,42,-1,-1,235000.0,20,22,,-1,-1,235000.0,,12.5
43Ca,Ca,43,-1,-1,869500.0,20,23,,-1,-1,869500.0,,11.813858695652174
44Ca,Ca,44,-1,-1,161000.0,20,24,,-1,-1,161000.0,,14.24778761061947
45Ca,Ca,45,1,5,8475200.0,20,25,3.3272600108644435,1,4,1515170.0,0.5948372369574144,
46Ca,Ca,46,-1,-1,73200.0,20,26,,-1,-1,73200.0,,8.798076923076923
47Ca,Ca,47,1,1,2897070.0,20,27,8.125995109907779,2,3,213164.0,0.5979039586921897,
48Ca,Ca,48,-1,-1,8780.0,20,28,,-1,-1,8780.0,,7.56896551724138
49Ca,Ca,49,6,1,493843.0,20,29,2.7563965557976635,4,4,83694.2,0.467141185802453,
50Ca,Ca,50,4,1,631947.0,20,30,10.443279209020545,6,1,20256.7,0.33475334791266753,
51Ca,Ca,51,4,1,459630.0,20,31,33.83449677168549,0,0,13584.656012518057,1.0,
52Ca,Ca,52,4,1,397799.0,20,32,46.342132864214896,6,1,2395.18,0.279029735604439,
53Ca,Ca,53,4,1,374415.0,20,33,13.634937981538782,6,1,2249.23,0.08190940949539008,
